No.,Time,Source,Destination,Protocol,,,
119,30.624993,192.168.2.21,185.180.13.82,UDP,,,
120,30.625018,192.168.2.21,185.180.13.82,UDP,,,
121,30.625022,192.168.2.21,50.7.252.138,UDP,,,
122,30.625025,192.168.2.21,50.7.252.138,UDP,,,
123,30.625028,192.168.2.21,50.7.252.138,UDP,,,
124,30.625032,192.168.2.21,195.181.173.159,UDP,,,
125,30.625036,192.168.2.21,195.181.173.159,UDP,,,
126,30.625039,192.168.2.21,195.181.173.159,UDP,,,
127,30.664667,195.181.173.159,192.168.2.21,UDP,,,
128,30.733626,103.195.103.66,192.168.2.21,UDP,,,
129,30.785436,185.180.13.82,192.168.2.21,UDP,,,
130,30.823443,50.7.252.138,192.168.2.21,UDP,,,
131,35.628899,192.168.2.21,103.195.103.66,UDP,,,
132,35.628928,192.168.2.21,103.195.103.66,UDP,,,
133,35.628933,192.168.2.21,103.195.103.66,UDP,,,
134,35.628938,192.168.2.21,185.180.13.82,UDP,,,
135,35.628943,192.168.2.21,50.7.252.138,UDP,,,
136,35.628947,192.168.2.21,50.7.252.138,UDP,,,
137,35.62895,192.168.2.21,50.7.252.138,UDP,,,
138,35.628953,192.168.2.21,195.181.173.159,UDP,,,
139,35.664548,195.181.173.159,192.168.2.21,UDP,,,
140,35.736486,103.195.103.66,192.168.2.21,UDP,,,
141,35.787459,185.180.13.82,192.168.2.21,UDP,,,
142,35.823588,50.7.252.138,192.168.2.21,UDP,,,
143,40.632622,192.168.2.21,103.195.103.66,UDP,,,
144,40.632651,192.168.2.21,185.180.13.82,UDP,,,
145,40.632657,192.168.2.21,185.180.13.82,UDP,,,
146,40.632662,192.168.2.21,185.180.13.82,UDP,,,
147,40.632666,192.168.2.21,50.7.252.138,UDP,,,
148,40.63267,192.168.2.21,195.181.173.159,UDP,,,
149,40.632674,192.168.2.21,195.181.173.159,UDP,,,
150,40.632677,192.168.2.21,195.181.173.159,UDP,,,
151,40.665507,195.181.173.159,192.168.2.21,UDP,,,
152,40.740075,103.195.103.66,192.168.2.21,UDP,,,
153,40.789397,185.180.13.82,192.168.2.21,UDP,,,
154,40.827012,50.7.252.138,192.168.2.21,UDP,,,
155,45.636192,192.168.2.21,103.195.103.66,UDP,,,
156,45.636278,192.168.2.21,103.195.103.66,UDP,,,
157,45.63628,192.168.2.21,103.195.103.66,UDP,,,
158,45.636282,192.168.2.21,185.180.13.82,UDP,,,
159,45.636284,192.168.2.21,185.180.13.82,UDP,,,
160,45.636286,192.168.2.21,185.180.13.82,UDP,,,
161,45.636287,192.168.2.21,50.7.252.138,UDP,,,
162,45.636288,192.168.2.21,50.7.252.138,UDP,,,
163,45.63629,192.168.2.21,50.7.252.138,UDP,,,
164,45.636291,192.168.2.21,195.181.173.159,UDP,,,
165,45.636293,192.168.2.21,195.181.173.159,UDP,,,
166,45.636294,192.168.2.21,195.181.173.159,UDP,,,
167,45.677255,195.181.173.159,192.168.2.21,UDP,,,
168,45.744641,103.195.103.66,192.168.2.21,UDP,,,
169,45.796243,185.180.13.82,192.168.2.21,UDP,,,
170,45.821926,Microsof_38:01:1f,Microsof_38:01:06,ARP,,,
171,45.821948,Microsof_38:01:06,Microsof_38:01:1f,ARP,,,
172,45.835758,50.7.252.138,192.168.2.21,UDP,,,
173,50.641631,192.168.2.21,103.195.103.66,UDP,,,
174,50.641662,192.168.2.21,103.195.103.66,UDP,,,
175,50.641667,192.168.2.21,103.195.103.66,UDP,,,
176,50.641671,192.168.2.21,185.180.13.82,UDP,,,
177,50.641676,192.168.2.21,50.7.252.138,UDP,,,
178,50.64168,192.168.2.21,50.7.252.138,UDP,,,
179,50.641683,192.168.2.21,50.7.252.138,UDP,,,
180,50.641686,192.168.2.21,195.181.173.159,UDP,,,
181,50.676576,195.181.173.159,192.168.2.21,UDP,,,
182,50.749879,103.195.103.66,192.168.2.21,UDP,,,
183,50.800511,185.180.13.82,192.168.2.21,UDP,,,
184,50.83897,50.7.252.138,192.168.2.21,UDP,,,
185,55.65086,192.168.2.21,103.195.103.66,UDP,,,
186,55.650887,192.168.2.21,185.180.13.82,UDP,,,
187,55.650892,192.168.2.21,185.180.13.82,UDP,,,
188,55.650896,192.168.2.21,185.180.13.82,UDP,,,
189,55.6509,192.168.2.21,50.7.252.138,UDP,,,
190,55.650904,192.168.2.21,195.181.173.159,UDP,,,
191,55.650908,192.168.2.21,195.181.173.159,UDP,,,
192,55.650911,192.168.2.21,195.181.173.159,UDP,,,
193,55.838265,195.181.173.159,192.168.2.21,UDP,,,
194,55.838858,185.180.13.82,192.168.2.21,UDP,,,
195,55.83886,103.195.103.66,192.168.2.21,UDP,,,
196,55.86723,50.7.252.138,192.168.2.21,UDP,,,
197,60.657247,192.168.2.21,103.195.103.66,UDP,,,
198,60.657268,192.168.2.21,103.195.103.66,UDP,,,
199,60.65727,192.168.2.21,103.195.103.66,UDP,,,
200,60.657272,192.168.2.21,185.180.13.82,UDP,,,
201,60.657274,192.168.2.21,185.180.13.82,UDP,,,
202,60.657276,192.168.2.21,185.180.13.82,UDP,,,
203,60.657278,192.168.2.21,50.7.252.138,UDP,,,
204,60.657279,192.168.2.21,50.7.252.138,UDP,,,
205,60.657281,192.168.2.21,50.7.252.138,UDP,,,
206,60.657282,192.168.2.21,195.181.173.159,UDP,,,
207,60.657284,192.168.2.21,195.181.173.159,UDP,,,
208,60.657285,192.168.2.21,195.181.173.159,UDP,,,
209,60.698752,195.181.173.159,192.168.2.21,UDP,,,
210,60.767678,103.195.103.66,192.168.2.21,UDP,,,
211,60.818976,185.180.13.82,192.168.2.21,UDP,,,
212,60.858267,50.7.252.138,192.168.2.21,UDP,,,
213,65.665563,192.168.2.21,103.195.103.66,UDP,,,
214,65.665602,192.168.2.21,103.195.103.66,UDP,,,
215,65.665607,192.168.2.21,103.195.103.66,UDP,,,
216,65.665611,192.168.2.21,185.180.13.82,UDP,,,
217,65.665616,192.168.2.21,50.7.252.138,UDP,,,
218,65.66562,192.168.2.21,50.7.252.138,UDP,,,
219,65.665624,192.168.2.21,50.7.252.138,UDP,,,
220,65.665627,192.168.2.21,195.181.173.159,UDP,,,
221,65.700757,195.181.173.159,192.168.2.21,UDP,,,
222,65.773425,103.195.103.66,192.168.2.21,UDP,,,
223,65.82546,185.180.13.82,192.168.2.21,UDP,,,
224,65.861137,50.7.252.138,192.168.2.21,UDP,,,
225,70.676524,192.168.2.21,103.195.103.66,UDP,,,
226,70.676554,192.168.2.21,185.180.13.82,UDP,,,
227,70.67656,192.168.2.21,185.180.13.82,UDP,,,
228,70.676564,192.168.2.21,185.180.13.82,UDP,,,
229,70.676568,192.168.2.21,50.7.252.138,UDP,,,
230,70.676572,192.168.2.21,195.181.173.159,UDP,,,
231,70.676576,192.168.2.21,195.181.173.159,UDP,,,
232,70.67658,192.168.2.21,195.181.173.159,UDP,,,
233,70.709281,195.181.173.159,192.168.2.21,UDP,,,
234,70.783758,103.195.103.66,192.168.2.21,UDP,,,
235,70.83324,185.180.13.82,192.168.2.21,UDP,,,
236,70.869948,50.7.252.138,192.168.2.21,UDP,,,
237,75.687257,192.168.2.21,103.195.103.66,UDP,,,
238,75.687285,192.168.2.21,103.195.103.66,UDP,,,
239,75.687289,192.168.2.21,103.195.103.66,UDP,,,
240,75.687291,192.168.2.21,185.180.13.82,UDP,,,
241,75.687294,192.168.2.21,185.180.13.82,UDP,,,
242,75.687297,192.168.2.21,185.180.13.82,UDP,,,
243,75.687299,192.168.2.21,50.7.252.138,UDP,,,
244,75.687301,192.168.2.21,50.7.252.138,UDP,,,
245,75.687304,192.168.2.21,50.7.252.138,UDP,,,
246,75.687306,192.168.2.21,195.181.173.159,UDP,,,
247,75.687309,192.168.2.21,195.181.173.159,UDP,,,
248,75.687311,192.168.2.21,195.181.173.159,UDP,,,
249,75.746156,195.181.173.159,192.168.2.21,UDP,,,
250,75.799767,103.195.103.66,192.168.2.21,UDP,,,
251,75.850415,185.180.13.82,192.168.2.21,UDP,,,
252,75.894194,50.7.252.138,192.168.2.21,UDP,,,
253,80.695923,192.168.2.21,103.195.103.66,UDP,,,
254,80.695954,192.168.2.21,103.195.103.66,UDP,,,
255,80.69596,192.168.2.21,103.195.103.66,UDP,,,
256,80.695964,192.168.2.21,185.180.13.82,UDP,,,
257,80.695977,192.168.2.21,50.7.252.138,UDP,,,
258,80.695981,192.168.2.21,50.7.252.138,UDP,,,
259,80.695985,192.168.2.21,50.7.252.138,UDP,,,
260,80.695988,192.168.2.21,195.181.173.159,UDP,,,
261,80.731885,195.181.173.159,192.168.2.21,UDP,,,
262,80.805691,103.195.103.66,192.168.2.21,UDP,,,
263,80.85632,185.180.13.82,192.168.2.21,UDP,,,
264,80.892267,50.7.252.138,192.168.2.21,UDP,,,
265,85.757351,Microsof_38:01:1f,Microsof_38:01:06,ARP,,,
266,85.757375,Microsof_38:01:06,Microsof_38:01:1f,ARP,,,
